,factors,regularization,iterations,rank_score,pop_score
3,4,0.01,300,0.120345394,0.080133403
351,200,10,300,0.120519609,0.080133403
540,440,10,15,0.120609273,0.080133403
350,200,10,75,0.120633982,0.080133403
349,200,10,45,0.120655441,0.080133403
109,12,10,45,0.12084371,0.080133403
492,380,10,15,0.120889147,0.080133403
8,4,1,15,0.121049056,0.080133403
444,320,10,15,0.121632982,0.080133403
396,260,10,15,0.122150566,0.080133403
5,4,0.1,45,0.122264813,0.080133403
157,16,10,45,0.122291359,0.080133403
6,4,0.1,75,0.122728926,0.080133403
111,12,10,300,0.122972253,0.080133403
156,16,10,15,0.122998271,0.080133403
60,8,10,15,0.123059475,0.080133403
348,200,10,15,0.123547389,0.080133403
159,16,10,300,0.123946496,0.080133403
158,16,10,75,0.12473481,0.080133403
108,12,10,15,0.125070447,0.080133403
205,20,10,45,0.127770675,0.080133403
301,140,10,45,0.128218593,0.080133403
204,20,10,15,0.128353694,0.080133403
303,140,10,300,0.128543802,0.080133403
302,140,10,75,0.128990915,0.080133403
206,20,10,75,0.129080579,0.080133403
300,140,10,15,0.129882419,0.080133403
207,20,10,300,0.130396477,0.080133403
57,8,1,45,0.134011356,0.080133403
59,8,1,300,0.134139959,0.080133403
49,8,0.01,45,0.135142712,0.080133403
48,8,0.01,15,0.135484116,0.080133403
55,8,0.1,300,0.135827107,0.080133403
54,8,0.1,75,0.135869849,0.080133403
51,8,0.01,300,0.135933521,0.080133403
50,8,0.01,75,0.136375268,0.080133403
53,8,0.1,45,0.136657257,0.080133403
56,8,1,15,0.136700276,0.080133403
52,8,0.1,15,0.137389859,0.080133403
58,8,1,75,0.138951855,0.080133403
104,12,1,15,0.144390268,0.080133403
252,80,10,15,0.145488856,0.080133403
255,80,10,300,0.145898567,0.080133403
254,80,10,75,0.146449019,0.080133403
253,80,10,45,0.147272394,0.080133403
105,12,1,45,0.147324052,0.080133403
100,12,0.1,15,0.148280739,0.080133403
102,12,0.1,75,0.148661585,0.080133403
106,12,1,75,0.149802084,0.080133403
96,12,0.01,15,0.15099278,0.080133403
107,12,1,300,0.151042674,0.080133403
98,12,0.01,75,0.153220004,0.080133403
97,12,0.01,45,0.154955687,0.080133403
